author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Qiang, Weizhong",0.0016,0.0,0.0,0.0798,,,,,,,0,0,0,0,0,1
"Li, Yin",0.0016,0.0001,0.0,0.105,,,,,,,0,0,0,0,0,1
"Halawa, Hassan",0.0009,0.0,0.0,0.0996,32,4,4,1,1,87,0,0,0,0,0,1
"Sun, Shijie",0.0009,0.0,0.0,0.1097,,,,,,,0,0,0,0,0,1
"Schneider, Scott",0.0003,0.0,0.0,0.096,30,12,11,12,12,644,0,0,0,0,0,1
"Arden, Owen",0.0019,0.0,12732.0,0.08,16,6,6,5,5,167,0,0,0,0,0,2
"Blaauw, David",0.005,0.0,34336.0,0.1019,721,75,50,301,200,22922,0,0,0,0,0,4
"Satish, Nadathur",0.0072,0.0,228144.1115,0.1323,88,26,23,35,35,4093,0,0,0,0,0,3
"Chen, Enhong",0.0041,0.0,52050.6138,0.1122,,,,,,,0,2,0,0,0,2
"Sannikov, Alexander",0.0085,0.1871,0.0,0.1022,,,,,,,0,0,0,0,0,1
"Abulila, Ahmed H. M. O.",0.0013,0.0,0.0,0.1255,,,,,,,,,,,,
"Zhang, Hao",0.0044,0.0,25432.0,0.1164,,,,,,,0,0,0,0,0,1
"Vij, Mona",0.0006,0.0,0.0,0.1015,,,,,,,0,0,0,0,0,1
"Calciu, Irina",0.0019,0.0,9741.4967,0.1303,17,6,6,5,5,150,0,2,2,0,0,2
"Agarwal, Rachit",0.0013,0.0,0.0,0.1308,33,12,11,14,11,637,0,1,0,0,0,2
"Klymko, Christine",0.0013,0.0,0.0,0.0996,17,8,8,6,6,234,0,2,0,0,0,1
"Zou, Chen",0.0009,0.0,0.0,0.0996,1,1,1,0,0,1,0,0,0,0,0,1
"Fu, Sheng-Yu",0.0013,0.0,0.0,0.1029,7,3,3,0,0,22,0,0,0,0,0,1
"Lebeane, Michael",0.0016,0.0,0.0,0.1148,9,3,3,0,0,19,0,0,0,0,0,1
"Li, Kaiwei",0.0009,0.0,0.0,0.1058,6,3,3,2,2,61,0,0,0,0,0,1
"Reddi, Vijay Janapa",0.0013,0.0,0.0,0.1132,72,21,18,31,28,5171,0,2,2,0,0,1
"Abraham, Ittai",0.0044,0.0,135394.9699,0.1389,109,35,21,58,44,3143,0,1,0,0,0,2
"Dahl, Jon A.",0.0031,0.0,0.0,0.0806,,,,,,,0,0,0,0,0,1
"Xu, Xiaoyang",0.0006,0.0,0.0,0.0867,,,,,,,0,0,0,0,0,1
"Kesidis, George",0.0022,0.0,17476.8333,0.1176,373,35,18,94,47,5104,0,0,1,0,0,4
"Koll, David",0.0016,0.0,0.0,0.0934,13,4,4,4,4,54,0,0,0,0,0,1
"Chang, Choong-Seock",0.0038,0.0,0.0,0.1083,,,,,,,0,0,0,0,0,1
"Arshad, Sajjad",0.0016,0.0,0.0,0.092,14,4,4,2,2,64,0,0,0,0,0,1
"Dey, Akon",0.0047,0.0,0.0,0.118,15,3,3,2,2,52,0,0,0,0,0,1
"Yao, Randolph",0.0019,0.0,0.0,0.1041,,,,,,,0,0,0,0,0,1
"Zhong, Shan",0.0019,0.0,0.0,0.1217,,,,,,,0,0,0,0,0,1
"Sur, Sanjib",0.0009,0.0,0.0,0.0835,13,7,7,6,5,147,0,0,0,0,0,1
"Cano, Ignacio",0.0028,0.0,0.0,0.1178,4,3,3,1,1,23,0,0,0,0,0,1
"Crane, Stephen",0.0035,0.0,0.0,0.0933,13,7,7,7,7,220,0,0,0,0,0,1
"Farach-Colton, Martin",0.0044,0.0,4238.6667,0.1016,171,44,25,77,45,7471,0,2,0,0,0,2
"Bhat, Srivatsa S.",0.0013,0.0,0.0,0.1174,9,2,2,0,0,18,0,0,0,0,0,1
"Ramanathan, Arvind",0.0013,0.0,0.0,0.0843,88,12,11,14,13,477,0,0,0,0,0,1
"Otten, Matthew",0.0085,0.1871,0.0,0.1022,,,,,,,,,,,,
"Son, Stacey D.",0.0044,0.0,0.0,0.1012,,,,,,,,,,,,
"Narayanasamy, Satish",0.0047,0.0,257948.0,0.1131,71,25,22,33,27,2333,0,1,0,0,0,4
"Liao, Xiaojing",0.0041,0.0,138292.0,0.1168,,,,,,,0,0,0,0,0,2
"Mukherjee, Sarit",0.0013,0.0,0.0,0.0982,,,,,,,0,0,0,0,0,2
"Upadhyay, Utkarsh",0.0013,0.0,0.0,0.1019,12,4,4,2,2,175,0,0,0,0,0,1
"Markidis, Stefano",0.0013,0.0,0.0,0.0967,277,19,19,43,41,1309,0,0,0,0,0,1
"Luan, Zhongzhi",0.0016,0.0,0.0,0.0786,,,,,,,0,0,0,0,0,1
"Ma, Lin",0.0053,0.0001,0.0,0.1246,7,5,5,4,4,87,0,0,0,0,0,1
"Haglin, David J.",0.0016,0.0,0.0,0.0885,,,,,,,,,,,,
"Shen, Sheng",0.0019,0.0,0.0,0.0738,5,2,2,1,1,18,0,0,0,0,0,1
"Liu, Jun",0.0031,0.0,0.0,0.0883,,,,,,,0,1,0,0,0,1
"Lumezanu, Cristian",0.0019,0.0,0.0,0.0982,67,17,15,25,22,1048,0,0,0,0,0,1
"Chan, Yuandong",0.0025,0.0091,1591.0,0.0993,,,,,,,0,0,0,0,0,2
"Bagga, Jasmeet",0.0009,0.0,0.0,0.1173,,,,,,,0,0,0,0,0,1
"Faraboschi, Paolo",0.0028,0.0,0.0,0.1055,171,26,16,49,26,2925,0,2,0,0,0,1
"Srisa-An, Witawas",0.0016,0.0,0.0,0.0981,81,14,10,28,11,588,0,0,0,0,0,1
"Fischer, Paul F.",0.0085,0.1871,0.0,0.1022,,,,,,,,,,,,
"Willke, Theodore L.",0.0009,0.0,0.0,0.1127,,,,,,,0,0,0,0,0,1
"Simhadri, Harsha Vardhan",0.0006,0.0,0.0,0.1271,23,8,8,8,7,407,0,0,0,0,0,1
"Pass, Rafael",0.0003,0.0,0.0,0.0807,,,,,,,0,0,0,0,0,1
"Zhang, Hui",0.0009,0.0,0.0,0.1097,,,,,,,0,1,0,0,0,2
"Jayasena, Nuwan",0.0013,0.0,0.0,0.1025,,,,,,,0,0,0,0,0,1
"Fan, Wenfei",0.0031,0.0,9548.0,0.1158,188,49,32,104,78,8176,0,1,0,0,0,3
"Choi, Jiho",0.0009,0.0,0.0,0.1175,,,,,,,0,0,0,0,0,1
"Hunold, Sascha",0.0022,0.0,0.0,0.0944,,,,,,,0,0,0,0,0,1
"Deveci, Mehmet",0.0025,0.0,0.0,0.1035,26,8,8,7,7,273,0,2,1,0,0,1
"Zhang, Bohan",0.0035,0.0,78998.3933,0.1259,,,,,,,0,0,0,0,0,1
"Li, Tongxin",0.0025,0.0,0.0,0.0949,14,4,4,3,3,77,0,0,0,0,0,1
"Venkatesan, Rangharajan",0.0025,0.0,0.0,0.1209,31,9,9,8,8,382,0,0,0,0,0,1
"Wilke, Jeremiah J.",0.0016,0.0,0.0,0.1119,31,9,8,9,7,700,0,1,0,0,0,1
"Zhao, Wenfeng",0.0006,0.0,0.0,0.105,18,5,5,3,3,81,0,0,0,0,0,1
"Tumeo, Antonino",0.0025,0.0,2890.6925,0.0927,101,17,12,30,21,839,0,1,0,0,0,2
"Su, Yi",0.0009,0.0,0.0,0.0883,,,,,,,0,0,0,0,0,1
"Xiao, Yuan",0.0009,0.0,0.0,0.0867,2,2,2,2,2,27,0,0,0,0,0,1
