author_name,degree,eigenvector,betweenness,closeness
"Gioiosa, Roberto",0.0023,0.0,0.0019,0.0385
"Kestor, Gokcen",0.0009,0.0,0.0032,0.0423
"Laure, Erwin",0.0005,0.0,0.0,0.0384
"Markidis, Stefano",0.0005,0.0,0.0,0.0384
"Alviano, Mario",0.0003,0.0,0.0,0.0003
"Morak, Michael",0.0003,0.0,0.0,0.0003
"Pieris, Andreas",0.0003,0.0,0.0,0.0003
"Ferraiuolo, Andrew",0.0009,0.0,0.0003,0.0295
"Baumann, Andrew",0.0004,0.0,0.0,0.0274
"Hawblitzel, Chris",0.0004,0.0,0.0,0.0274
"Parno, Bryan",0.0004,0.0,0.0,0.0274
"Slota, George M.",0.0004,0.0,0.0,0.0423
"Rajamanickam, Sivasankaran",0.0015,0.0,0.005,0.0433
"Devine, Karen D.",0.0004,0.0,0.0,0.0423
"Madduri, Kamesh",0.0009,0.0,0.0053,0.0465
"Dong, Bin",0.0017,0.0,0.0006,0.0432
"Wu, Kesheng",0.0017,0.0,0.0006,0.0432
"Byna, Surendra",0.0007,0.0,0.0,0.039
"Liu, Jialin",0.0011,0.0,0.0,0.039
"Zhao, Weijie",0.0008,0.0,0.0,0.039
"Rusu, Florin",0.0008,0.0,0.0,0.039
"Barreiros, Willian",0.0007,0.0,0.0,0.0391
"Teodoro, George",0.0007,0.0,0.0,0.0391
"Kurç, Tahsin M.",0.0023,0.0,0.0005,0.0433
"Kong, Jun",0.0007,0.0,0.0,0.0391
"Melo, Alba Cristina Magalhaes Alves De",0.0007,0.0,0.0,0.0391
"Saltz, Joel H.",0.0007,0.0,0.0,0.0391
"Sun, He",0.0001,0.0,0.0,0.0001
"Zanetti, Luca",0.0001,0.0,0.0,0.0001
"Assadi, Sepehr",0.0001,0.0,0.0,0.0015
"Gómez-Luna, Juan",0.0009,0.0,0.0,0.0381
"Hajj, Izzat El",0.0012,0.0,0.0006,0.0381
"Chang, Li-Wen",0.0009,0.0,0.0,0.0381
"Garcia-Flores, Victor",0.0011,0.0,0.0003,0.0381
"Gonzalo, Simon Garcia De",0.0013,0.0,0.0029,0.0401
"Jablin, Thomas B.",0.0012,0.0,0.0006,0.0381
"Peña, Antonio J.",0.0024,0.0,0.0066,0.0402
"Hwu, Wen-Mei W.",0.0008,0.0,0.0017,0.0387
"You, Yang",0.0003,0.0,0.0,0.0027
"Buluç, Aydin",0.0016,0.0,0.0,0.0031
"Demmel, James",0.0007,0.0,0.0,0.0032
"Cao, Yi",0.0005,0.0,0.0,0.0398
"Nejati, Javad",0.0005,0.0,0.0,0.0398
"Wajahat, Muhammad",0.0005,0.0,0.0,0.0398
"Balasubramanian, Aruna",0.0011,0.0,0.0006,0.0442
"Gandhi, Anshul",0.0008,0.0,0.0002,0.0398
"Meng, Dongyu",0.0001,0.0,0.0,0.0281
"Chen, Hao",0.0004,0.0,0.0001,0.0302
"Ye, Katherine Q.",0.0007,0.0,0.0,0.0306
"Green, Matthew",0.0012,0.0,0.0005,0.0314
"Sanguansin, Naphat",0.0007,0.0,0.0,0.0306
"Beringer, Lennart",0.0007,0.0,0.0,0.0306
"Petcher, Adam",0.0007,0.0,0.0,0.0306
"Appel, Andrew W.",0.0009,0.0,0.0008,0.0325
"Steimann, Friedrich",0.0003,0.0,0.0,0.0003
"Frenkel, Marcus",0.0003,0.0,0.0,0.0003
"Völter, Markus",0.0003,0.0,0.0,0.0003
"Atasu, Kubilay",0.0005,0.0,0.0,0.0005
"Parnell, Thomas P.",0.0005,0.0,0.0,0.0005
"Dünner, Celestine",0.0005,0.0,0.0,0.0005
"Vlachos, Michail",0.0005,0.0,0.0,0.0005
"Pozidis, Haralampos",0.0005,0.0,0.0,0.0005
"Ganapathi, Ravindra Babu",0.0011,0.0,0.0,0.0011
"Gopalakrishnan, Aravind",0.0003,0.0,0.0,0.0006
"Mcguire, Russell W.",0.0003,0.0,0.0,0.0006
"Roberts, Stephen",0.0004,0.0,0.0,0.0004
"Wright, Steven A.",0.0004,0.0,0.0,0.0004
"Fahmy, Suhaib A.",0.0004,0.0,0.0,0.0004
"Jarvis, Stephen A.",0.0004,0.0,0.0,0.0004
"Yuan, Haitao",0.0017,0.0,0.0007,0.0334
"Bi, Jing",0.0005,0.0,0.0,0.0308
"Zhang, Jia",0.0005,0.0,0.0,0.0308
"Tan, Wei",0.0009,0.0,0.0003,0.0308
"Huang, Keman",0.0005,0.0,0.0,0.0308
"He, Xi",0.0004,0.0,0.0,0.0009
"Machanavajjhala, Ashwin",0.0016,0.0,0.0,0.0016
"Flynn, Cheryl J.",0.0004,0.0,0.0,0.0009
"Srivastava, Divesh",0.0004,0.0,0.0,0.0009
"Li, Chao",0.0001,0.0,0.0,0.0001
"Palanisamy, Balaji",0.0001,0.0,0.0,0.0001
"Foukas, Xenofon",0.0003,0.0,0.0,0.0003
"Marina, Mahesh K.",0.0003,0.0,0.0,0.0003
"Kontovasilis, Kimon P.",0.0003,0.0,0.0,0.0003
"Snyder, Peter",0.0004,0.0,0.0,0.0413
"Doerfler, Periwinkle",0.0004,0.0,0.0,0.0413
"Kanich, Chris",0.0004,0.0,0.0,0.0413
"Mccoy, Damon",0.0023,0.0,0.0083,0.0461
"Noormohammadpour, Mohammad",0.0004,0.0,0.0,0.0004
"Raghavendra, Cauligi S.",0.0004,0.0,0.0,0.0004
"Rao, Sriram",0.0004,0.0,0.0,0.0004
"Kandula, Srikanth",0.0004,0.0,0.0,0.0004
"Ghit, Bogdan",0.0008,0.0,0.0,0.0281
"Epema, Dick H. J.",0.0012,0.0,0.0005,0.0281
"Nayak, Kartik",0.0008,0.0,0.0,0.0327
"Fletcher, Christopher W.",0.0008,0.0,0.0,0.0327
"Ren, Ling",0.0008,0.0,0.0,0.0327
"Lokam, Satyanarayana V.",0.0008,0.0,0.0,0.0327
"Shi, Elaine",0.0016,0.0,0.0019,0.035
"Goyal, Vipul",0.0008,0.0,0.0,0.0327
"Dong, Liming",0.0005,0.0,0.0,0.0005
"Liu, Weidong",0.0005,0.0,0.0,0.0005
"Li, Renchuan",0.0005,0.0,0.0,0.0005
"Zhang, Tiejun",0.0005,0.0,0.0,0.0005
"Zhao, Weiguo",0.0005,0.0,0.0,0.0005
"Hofmann, Johannes",0.0004,0.0,0.0,0.0004
"Hager, Georg",0.0004,0.0,0.0,0.0004
"Wellein, Gerhard",0.0004,0.0,0.0,0.0004
"Fey, Dietmar",0.0004,0.0,0.0,0.0004
"Mishra, Debadatta",0.0004,0.0,0.0,0.0004
"Prashanth, ",0.0003,0.0,0.0,0.0003
"Kulkarni, Purushottam",0.0004,0.0,0.0,0.0004
"Prokopec, Aleksandar",0.0,0.0,0.0,0.0
"Mao, Bo",0.0008,0.0,0.0001,0.0393
"Jiang, Hong",0.002,0.0,0.0012,0.0436
"Wu, Suzhen",0.0008,0.0,0.0001,0.0393
"Yang, Yaodong",0.0005,0.0,0.0,0.0393
"Xi, Zaifa",0.0005,0.0,0.0,0.0393
"Zhang, Haoyu",0.002,0.0,0.0126,0.0549
"Zhang, Qin",0.0004,0.0,0.0002,0.0482
"Huang, Jian",0.0015,0.0,0.001,0.0479
"Badam, Anirudh",0.0017,0.0,0.005,0.0502
"Caulfield, Laura",0.0008,0.0,0.0,0.0478
"Nath, Suman",0.0008,0.0,0.0,0.0478
"Sengupta, Sudipta",0.0012,0.0,0.0058,0.0522
"Sharma, Bikash",0.0012,0.0,0.0001,0.0478
"Qureshi, Moinuddin K.",0.0019,0.0,0.0011,0.0479
"Liu, Jie",0.0011,0.0,0.0001,0.0409
"Li, Xin",0.0007,0.0,0.0,0.0371
"Zhang, Hao",0.0019,0.0,0.0008,0.0456
"Liu, Chengcheng",0.0007,0.0,0.0,0.0409
"Dou, Lei",0.0011,0.0,0.0001,0.0409
"Ju, Lei",0.0011,0.0,0.0001,0.0409
"Zhang, Yupeng",0.0007,0.0,0.0011,0.032
"Besta, Maciej",0.0008,0.0,0.0,0.0025
