author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Mishra, Nikita",0.0014,0.0,1753.5,0.0761,8,2,2,2,2,69,0,0,0,0,0,2
"Li, Jianjun",0.0017,0.0,0.0,0.1105,,,,,,,0,0,0,0,0,1
"Matania, Naor",0.0011,0.0,0.0,0.0848,,,,,,,0,0,0,0,0,1
"Guo, Tao",0.0011,0.0,0.0,0.0584,2,2,2,2,2,30,0,0,0,0,0,1
"Zaostrovnykh, Arseniy",0.0011,0.0,0.0,0.1075,,,,,,,0,0,0,0,0,1
"Yasudo, Ryota",0.0011,0.0,0.0,0.0802,3,1,1,0,0,4,0,0,0,0,0,1
"Herzberg, Amir",0.0011,0.0,0.0,0.1072,223,39,23,89,54,7890,0,1,1,0,0,1
"Gu, Ming",0.0006,0.0,0.0,0.0884,,,,,,,0,0,0,0,0,1
"Yu, Bowen",0.002,0.0,0.0,0.1137,,,,,,,0,0,0,0,0,2
"Dillig, Isil",0.0034,0.0,21609.6667,0.0711,46,16,15,20,19,984,0,0,0,0,0,5
"Duggal, Abhinav",0.0014,0.0,0.0,0.0904,,,,,,,0,0,0,0,0,1
"Bhat, Srivatsa S.",0.0011,0.0,0.0,0.113,9,2,2,0,0,18,0,0,0,0,0,1
"Brinkmann, André",0.0028,0.0,7008.0,0.0985,138,23,15,41,29,1820,0,5,0,0,0,2
"Chaabane, Abdelberi",0.0014,0.0,0.0,0.0936,20,9,9,8,8,293,0,0,0,0,0,1
"Leskes, Boaz",0.0017,0.0,0.0,0.0664,,,,,,,0,0,0,0,0,1
"Mukerjee, Matthew K.",0.0014,0.0,0.0,0.1007,14,6,6,6,6,362,0,0,0,0,0,1
"Archer, Charles",0.0077,0.1871,0.0,0.0982,,,,,,,0,0,0,0,0,2
"Holman, Michael",0.0023,0.0,0.0,0.0711,,,,,,,0,0,0,0,0,1
"Ilyushkin, Alexey",0.0017,0.0,0.0,0.0888,13,2,1,0,0,9,0,0,0,0,0,1
"Chen, Jia",0.0006,0.0,0.0,0.0664,,,,,,,0,0,0,0,0,1
"Wang, Meng",0.0031,0.0,92509.2328,0.1015,,,,,,,0,1,0,0,0,2
"Vij, Mona",0.0006,0.0,0.0,0.1017,,,,,,,0,0,0,0,0,1
"Snyder, Shane",0.0034,0.0,2575.3561,0.0911,,,,,,,0,0,0,0,0,2
"Gugnani, Shashank",0.0011,0.0,0.0,0.1057,11,3,3,0,0,14,0,0,0,0,0,2
"Wang, Frank",0.0011,0.0,0.0,0.104,12,7,6,4,4,298,0,0,0,0,0,1
"Anirudh, Rushil",0.0023,0.0,0.0,0.0948,22,4,4,2,2,74,0,0,0,0,0,1
"Katz, Randy H.",0.0011,0.0,0.0,0.1163,,,,,,,,,,,,
"Titzer, Ben L.",0.0023,0.0,0.0,0.0711,,,,,,,0,0,0,0,0,1
"Legtchenko, Sergey",0.0034,0.0,0.0,0.0772,13,4,4,4,4,109,0,0,0,0,0,1
"Yang, Suli",0.0009,0.0,0.0,0.1062,7,2,2,1,1,24,0,0,0,0,0,1
"Kannan, Ram Srivatsa",0.0014,0.0,0.0,0.076,4,3,3,1,1,29,0,0,0,0,0,1
"Mazumdar, Amrita",0.002,0.0,0.0,0.1208,5,2,2,0,0,13,0,0,0,0,0,1
"Sakamoto, Ryuichi",0.0023,0.0,0.0,0.0921,,,,,,,0,0,0,0,0,1
"Zou, Sean",0.0028,0.0,0.0,0.0928,,,,,,,0,0,0,0,0,1
"Ma, Xiaoxing",0.0009,0.0,0.0,0.1006,141,17,15,32,23,1053,0,0,0,0,0,1
"Hu, Xiaokang",0.0014,0.0,0.0,0.1011,1,1,1,1,1,1,0,0,0,0,0,1
"Aupy, Guillaume",0.0017,0.0,26838.6494,0.0965,37,8,7,7,7,216,0,2,0,0,0,2
"Xiao, Wencong",0.002,0.0,0.0,0.1015,1,1,1,1,1,11,0,0,0,0,0,2
"Hu, Shuihai",0.0017,0.0,0.0,0.1123,5,3,3,2,2,63,0,0,0,0,0,1
"Luan, Zhongzhi",0.0014,0.0,0.0,0.076,,,,,,,0,0,0,0,0,1
"Sun, Jiawen",0.0006,0.0,0.0,0.0843,,,,,,,0,0,0,0,0,1
"Benton, Brad",0.0014,0.0,0.0,0.1108,,,,,,,0,0,0,0,0,1
"Yen, Ian En-Hsu",0.0014,0.0,0.0,0.1063,,,,,,,,,,,,
"Wan, Jiguang",0.0023,0.0,733.8481,0.0972,,,,,,,0,0,0,0,0,2
"Soriente, Claudio",0.0009,0.0,0.0,0.0498,89,24,22,28,28,1863,0,0,0,0,0,1
"Saarikivi, Olli",0.0009,0.0,0.0,0.1055,14,4,4,4,4,83,0,0,0,0,0,1
"Wang, Fei",0.0014,0.0,0.0,0.0977,245,38,35,111,103,5086,0,1,0,0,0,3
"Olson, Luke N.",0.0009,0.0,0.0,0.0798,,,,,,,,,,,,
"Costa, Paolo",0.004,0.0,0.0,0.1238,87,25,20,39,32,3500,0,1,0,0,0,1
"Xiao, Xiaokui",0.0031,0.0,17520.0,0.0838,87,38,34,58,55,5589,0,1,0,0,0,3
"Yan, Yonghong",0.0009,0.0,0.0,0.0797,42,9,9,9,8,535,0,0,0,0,0,1
"Fu, Binzhang",0.0003,0.0,0.0,0.1037,12,7,7,7,6,138,0,0,0,0,0,1
"Lee, Gyu-Hyeon",0.0011,0.0,0.0,0.0953,,,,,,,0,0,0,0,0,1
"Liu, Hongqiang Harry",0.0046,0.0,344382.0278,0.1296,20,7,7,5,5,401,0,0,0,0,0,3
"Fu, Haohuan",0.0037,0.0,17520.0,0.105,,,,,,,0,1,0,0,1,2
"Lang, Kevin J.",0.0014,0.0,0.0,0.0955,,,,,,,,,,,,
"Wang, Cheng",0.0026,0.0,14020.6667,0.101,,,,,,,0,2,0,0,0,4
