author_id,author_name,author_email
3371087,"('Nejati, Javad', '@cs.stonybrook.edu')"
9223428,"('Wajahat, Muhammad', '@cs.stonybrook.edu')"
2187214,"('Balasubramanian, Aruna', '@cs.stonybrook.edu')"
2044504,"('Gandhi, Anshul', '@cs.stonybrook.edu')"
24553949,"('Meng, Dongyu', '@shanghaitech.edu.cn')"
1721849,"('Chen, Hao', '@ucdavis.edu')"
11019105,"('Ye, Katherine Q.', '@cs.cmu.edu')"
38436509,"('Green, Matthew', '@cs.jhu.edu')"
24010074,"('Sanguansin, Naphat', '')"
2722085,"('Beringer, Lennart', '')"
2059700,"('Petcher, Adam', '')"
1804502,"('Appel, Andrew W.', '@princeton.edu')"
3175379,"('Steimann, Friedrich', '@uni-bonn.de')"
30468313,"('Frenkel, Marcus', '')"
1775185,"('Atasu, Kubilay', '@zurich.ibm.com')"
3372321,"('Dünner, Celestine', '@zurich.ibm.com')"
1699100,"('Vlachos, Michail', '')"
2004009,"('Pozidis, Haralampos', '@zurich.ibm.com')"
31606525,"('Shi, Yu', '@illinois.edu')"
19277495,"('Chan, Po-Wei', '@me.mcu.edu.tw')"
39371343,"('Zhuang, Honglei', '@illinois.edu')"
2286096,"('Gui, Huan', '@illinois.edu')"
1722175,"('Han, Jiawei', '@cs.uiuc.edu')"
39322919,"('Ganapathi, Ravindra Babu', '@intel.com')"
27099044,"('Gopalakrishnan, Aravind', '')"
27021998,"('Mcguire, Russell W.', '')"
40431102,"('Wright, Steven A.', '@warwick.ac.uk')"
3450002,"('Fahmy, Suhaib A.', '@warwick.ac.uk')"
1690561,"('Jarvis, Stephen A.', '@warwick.ac.uk')"
34825854,"('Yuan, Haitao', '@bjtu.edu.cn')"
2424969,"('Zhang, Jia', '')"
2700163,"('Tan, Wei', '@us.ibm.com')"
2950127,"('He, Xi', '@cs.duke.edu')"
2357165,"('Machanavajjhala, Ashwin', '@cs.duke.edu')"
1704011,"('Srivastava, Divesh', '@research.att.com')"
1679961,"('Li, Chao', '')"
1724566,"('Palanisamy, Balaji', '@pitt.edu')"
3224069,"('Foukas, Xenofon', '')"
1712068,"('Marina, Mahesh K.', '@inf.ed.ac.uk')"
36816914,"('Snyder, Peter', '@uic.edu')"
32873584,"('Doerfler, Periwinkle', '@nyu.edu')"
3110399,"('Kanich, Chris', '@uic.edu')"
1703426,"('Mccoy, Damon', '@nyu.edu')"
2185243,"('Noormohammadpour, Mohammad', '@usc.edu')"
1756733,"('Raghavendra, Cauligi S.', '')"
40282073,"('Rao, Sriram', '@microsoft.com')"
1741860,"('Kandula, Srikanth', '@microsoft.com')"
2038661,"('Ghit, Bogdan', '@tudelft.nl')"
1736809,"('Nayak, Kartik', '@cs.umd.edu')"
2012099,"('Fletcher, Christopher W.', '@mit.edu')"
35584790,"('Ren, Ling', '@mit.edu')"
1726246,"('Shi, Elaine', 'MISSING')"
1707396,"('Goyal, Vipul', '@cs.cmu.edu')"
3607439,"('Dong, Liming', '')"
21618914,"('Liu, Weidong', '')"
23213997,"('Li, Renchuan', '')"
1690745,"('Hofmann, Johannes', '')"
1694080,"('Hager, Georg', '@fau.de')"
1708441,"('Wellein, Gerhard', '@fau.de')"
1798887,"('Fey, Dietmar', '')"
2484837,"('Mishra, Debadatta', '@cse.iitb.ac.in')"
9516817,"('Prashanth, ', '')"
1749860,"('Kulkarni, Purushottam', '@cse.iitb.ac.in')"
2910441,"('Prokopec, Aleksandar', '@epfl.ch')"
1782674,"('Mao, Bo', '@xmu.edu.cn')"
9280383,"('Jiang, Hong', '@uta.edu')"
8175008,"('Wu, Suzhen', '@xmu.edu.cn')"
3154422,"('Yang, Yaodong', '')"
1769287,"('Xi, Zaifa', '')"
3108945,"('Zhang, Haoyu', '@umail.iu.edu')"
35428741,"('Zhang, Qin', '@indiana.edu')"
36937479,"('Huang, Jian', '@utk.edu')"
1783539,"('Badam, Anirudh', '@microsoft.com')"
9725581,"('Caulfield, Laura', '')"
39496676,"('Nath, Suman', '@microsoft.com')"
1690586,"('Sengupta, Sudipta', '@microsoft.com')"
39807362,"('Sharma, Bikash', '@cse.psu.edu')"
1699746,"('Liu, Jie', '')"
1685323,"('Li, Xin', '')"
1682058,"('Zhang, Hao', '')"
1859741,"('Liu, Chengcheng', '')"
40651849,"('Dou, Lei', '')"
39350835,"('Ju, Lei', '@sdu.edu.cn')"
28262989,"('Terraz, Théophile', '')"
2316659,"('Fournier, Yvan', '')"
3148002,"('Iooss, Bertrand', 'MISSING')"
2583571,"('Raffin, Bruno', '@inria.fr')"
3092404,"('Zhang, Yupeng', '@umd.edu')"
2919642,"('Besta, Maciej', '@inf.ethz.ch')"
19322066,"('Marending, Florian', '')"
2880213,"('Solomonik, Edgar', '@illinois.edu')"
1713648,"('Hoefler, Torsten', '@inf.ethz.ch')"
2395665,"('Tang, Dixin', '')"
1786139,"('Jiang, Hao', '')"
1787375,"('Elmore, Aaron J.', '')"
19170117,"('Mazumdar, Amrita', '@cs.washington.edu')"
34862953,"('Moreau, Thierry', '')"
1732259,"('Kim, Sung', '')"
1698528,"('Alaghi, Armin', '@cs.washington.edu')"
1717411,"('Ceze, Luis', '@cs.washington.edu')"
1723213,"('Oskin, Mark', '@cs.washington.edu')"
11816328,"('Sathe, Visvesh', '@uw.edu')"
1984554,"('Joshi, Arpit', '@ed.ac.uk')"
1699540,"('Viglas, Stratis', '@inf.ed.ac.uk')"
1687142,"('Cintra, Marcelo', '@staffmail.ed.ac.uk')"
1867677,"('Byma, Stuart', '@epfl.ch')"
12888874,"('Whitlock, Sam', '@epfl.ch')"
20647943,"('Flueratoru, Laura', '')"
32324156,"('Tseng, Ethan', '')"
1678618,"('Bugnion, Edouard', '@epfl.ch')"
3032988,"('Azad, Ariful', '@lbl.gov')"
37224490,"('Jain, Bhushan', '@cs.stonybrook.edu')"
2104538,"('Tsai, Chia-Che', '@cs.stonybrook.edu')"
1755646,"('Porter, Donald E.', '@cs.unc.edu')"
2546078,"('Wolfe, Noah', '@rpi.edu')"
2383364,"('Mubarak, Misbah', '@anl.gov')"
1812494,"('Jain, Nikhil', '@acm.org')"
2300557,"('Domke, Jens', '@m.titech.ac.jp')"
1823585,"('Bhatele, Abhinav', '@llnl.gov')"
40211322,"('Ross, Robert B.', '@mcs.anl.gov')"
2731972,"('Shen, Fumin', '@uestc.edu.cn')"
40501686,"('Mu, Yadong', '@research.att.com')"
1708973,"('Yang, Yang', '')"
1722649,"('Liu, Wei', '@ee.columbia.edu')"
1746030,"('Liu, Li', '')"
2346105,"('Song, Jingkuan', '@columbia.edu')"
1724393,"('Shen, Heng Tao', '@uestc.edu.cn')"
7777279,"('Ma, Yunfei', '')"
3979901,"('Selby, Nicholas', '')"
1761544,"('Adib, Fadel', '@mit.edu')"
2390252,"('Zhou, Tingzhe', '@lehigh.edu')"
3448074,"('Zardoshti, Pantea', '@lehigh.edu')"
12762343,"('Fuller, Benjamin', '@uconn.edu')"
33860798,"('Varia, Mayank', '')"
2529763,"('Yerukhimovich, Arkady', '@cs.umd.edu')"
