name, gs_email, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author, pc_chairs, pcs, session_chairs, panels, keynotes, papers, gender, country, sector, npubs, hindex, hindex5y, i10index, i10index5y, citedby
"Aiken, Alex", @cs.stanford.edu, 0, 0, 0, 0, 0, 5, , , , , , "OOPSLA_17_046, SC_17_013, ASPLOS_17_022, PLDI_17_045, HiPC_17_002", M, US, EDU, 247, 63, 42, 138, 97, 15944
"Ailamaki, Anastasia", @epfl.ch, 0, 0, 0, 0, 0, 2, , , , , , "CIDR_17_008, SOCC_17_009", F, CH, EDU, 292, 49, 35, 122, 100, 8629
"Ainsworth, Mark", @brown.edu, 0, 0, 0, 0, 0, 2, , , , , , "HotStorage_17_021, Cluster_17_006", , US, EDU, 171, 35, 24, 78, 46, 7738
"Aiyar, Srinivas", , 0, 0, 0, 0, 0, 1, , , , , , NSDI_17_004, , , , , , , , , 
"Ajay, Jerry", @buffalo.edu, 0, 0, 0, 0, 0, 1, , , , , , ASPLOS_17_029, , US, EDU, 6, 3, 3, 0, 0, 18
"Aji, Ashwin", @amd.com, 0, 3, 0, 0, 0, 0, , "IPDPS, ICPP, HPCC", , , , , M, , COM, 27, 12, 11, 13, 12, 430
"Akaria, Islam", , 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_001, M, , , , , , , , 
"Akata, Zeynep", , 0, 0, 0, 0, 1, 0, , , , , ISC, , F, , , , , , , , 
"Akbudak, Kadir", @cs.bilkent.edu.tr, 0, 0, 0, 0, 0, 1, , , , , , ISC_17_002, , TR, EDU, 13, 3, 3, 2, 2, 41
"Akella, Aditya", @cs.wisc.edu, 1, 1, 1, 0, 0, 5, NSDI, SOSP, SOSP, , , "SIGCOMM_17_018, ATC_17_033, CoNEXT_17_023, SOCC_17_037, SOSP_17_022", M, US, EDU, 216, 40, 36, 76, 63, 7664
"Akella, Venkatesh", , 0, 0, 0, 0, 0, 1, , , , , , HPCA_17_020, , , , , , , , , 
"Aken, Dana Van", , 0, 0, 0, 0, 0, 2, , , , , , "SIGMOD_17_068, CIDR_17_014", F, , , , , , , , 
"Akgun, Itir", @ece.ucsb.edu, 0, 0, 0, 0, 0, 1, , , , , , ISCA_17_052, F, US, EDU, 5, 2, 2, 0, 0, 6
"Akkus, Istemi Ekin", @mpi-sws.org, 0, 0, 0, 0, 0, 2, , , , , , "Middleware_17_003, CoNEXT_17_027", M, DE, GOV, 15, 7, 5, 6, 5, 199
"Akoglu, Ali", MISSING, 0, 1, 0, 0, 0, 1, , HPCC, , , , HPCC_17_039, M, , , 90, 12, 9, 16, 9, 844
"Akoglu, Leman", @cs.cmu.edu, 0, 1, 1, 1, 0, 0, , ICDM, KDD, ICDM, , , F, US, EDU, 104, 25, 24, 38, 38, 2263
"Akram, Riad", , 0, 0, 0, 0, 0, 1, , , , , , IISWC_17_015, , , , , , , , , 
"Aksenov, Vitaly", , 0, 0, 0, 0, 0, 1, , , , , , EuroPar_17_002, , , , , , , , , 
"Aktaş, Mehmet Fatih", MISSING, 0, 0, 0, 0, 0, 1, , , , , , ICPP_17_026, M, , , 61, 9, 9, 8, 7, 304
"Aktolga, Elif", @cs.umass.edu, 0, 1, 0, 0, 0, 0, , SIGIR, , , , , F, US, EDU, 13, 4, 4, 3, 3, 84
"Akturk, Ismail", @umn.edu, 0, 0, 0, 0, 0, 1, , , , , , ASPLOS_17_055, M, US, EDU, 24, 5, 4, 1, 1, 48
"Al-Fuqaha, Ala", @wmich.edu, 0, 0, 0, 0, 0, 1, , , , , , HPCC_17_007, M, US, EDU, 148, 16, 12, 25, 16, 1650
"Al-Hawaj, Khalid", , 0, 0, 0, 0, 0, 1, , , , , , MICRO_17_057, , , , , , , , , 
"Al-Kiswany, Samer", @uwaterloo.ca, 0, 2, 0, 0, 0, 1, , "HPDC, MASCOTS", , , , HPDC_17_003, M, CA, EDU, 57, 12, 11, 17, 12, 670
"Al-Rawi, Asma", , 0, 0, 0, 0, 0, 1, , , , , , ISC_17_021, F, , , , , , , , 
"Al-Shaer, Ehab", MISSING, 0, 1, 0, 0, 0, 0, , CCS, , , , , M, , , 309, 36, 29, 92, 64, 5441
"Alabi, Daniel", @g.harvard.edu, 0, 0, 0, 0, 0, 1, , , , , , KDD_17_007, , US, EDU, 3, 2, 2, 0, 0, 6
"Alagappan, Ramnatthan", @cs.wisc.edu, 0, 0, 0, 0, 0, 3, , , , , , "EuroSys_17_036, FAST_17_011, FAST_17_013", , US, EDU, 6, 3, 3, 2, 2, 56
"Alaghi, Armin", @cs.washington.edu, 0, 0, 0, 0, 0, 2, , , , , , "IPDPS_17_052, IISWC_17_024", , US, EDU, 32, 10, 9, 12, 8, 509
"Alam, Hanna", @tce.technion.ac.il, 0, 0, 0, 0, 0, 1, , , , , , ISCA_17_035, M, IL, EDU, 2, 1, 1, 0, 0, 4
"Alam, Mejbah Ul", @utsa.edu, 0, 0, 0, 0, 0, 1, , , , , , EuroSys_17_010, , US, EDU, 3, 1, 1, 1, 1, 14
"Alam, Monjur", @gatech.edu, 0, 0, 0, 0, 0, 1, , , , , , ISCA_17_026, , US, EDU, 16, 5, 5, 5, 4, 112
"Alam, Sadaf R.", , 0, 1, 0, 2, 0, 0, , SC, , "SC, SC", , , F, , , , , , , , 
"Alameldeen, Alaa", @cs.wisc.edu, 0, 1, 1, 0, 0, 1, , MICRO, MICRO, , , MICRO_17_005, M, US, EDU, 50, 25, 22, 31, 29, 4776
"Alapati, Praveen", @cse.iitm.ac.in, 0, 0, 0, 0, 0, 1, , , , , , HPCC_17_047, M, IN, EDU, 2, 0, 0, 0, 0, -1
"Alarcon, Sonia", , 0, 0, 0, 0, 0, 1, , , , , , HCW_17_004, F, , , , , , , , 
"Alay, Özgü", @simula.no, 0, 2, 0, 0, 0, 1, , "IMC, CoNEXT", , , , MobiCom_17_005, F, NO, GOV, 57, 10, 9, 12, 9, 512
"Albarghouthi, Aws", @cs.wisc.edu, 0, 0, 0, 0, 0, 1, , , , , , OOPSLA_17_020, M, US, EDU, 28, 12, 12, 12, 12, 507
"Albayram, Yusuf", , 0, 0, 0, 0, 0, 1, , , , , , CLOUD_17_005, M, , , , , , , , 
"Albericio, Jorge", @ece.toronto.edu, 0, 0, 0, 0, 0, 1, , , , , , MICRO_17_030, , US, EDU, 27, 8, 8, 7, 7, 179
"Albers, Susanne", @in.tum.de, 0, 2, 1, 0, 0, 1, , "IPDPS, SPAA", SPAA, , , SPAA_17_004, F, DE, EDU, 159, 34, 22, 60, 40, 4039
"Albonesi, David", , 0, 0, 0, 0, 0, 1, , , , , , ISPASS_17_004, M, , , , , , , , 
"Alcantara, Joel", , 0, 0, 0, 0, 0, 1, , , , , , Middleware_17_011, M, , , , , , , , 
"Alcorn, Scott", , 0, 0, 0, 0, 0, 1, , , , , , KDD_17_048, , , , , , , , , 
"Alcántara, Manuel", , 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_049, , , , , , , , , 
"Aldinucci, Marco", @unito.it, 0, 1, 0, 0, 0, 0, , Cluster, , , , , M, IT, EDU, 185, 25, 15, 49, 29, 2043
"Aldrich, Jonathan", @cs.cmu.edu, 1, 0, 2, 0, 0, 0, OOPSLA, , "OOPSLA, OOPSLA", , , , M, US, EDU, 233, 32, 23, 64, 38, 4393
"Alduaij, Naser", @cs.columbia.edu, 0, 0, 0, 0, 0, 1, , , , , , Middleware_17_007, , US, EDU, 5, 1, 1, 1, 1, 12
"Aldweesh, Amjad", , 0, 0, 0, 0, 0, 1, , , , , , CCS_17_014, M, , , , , , , , 
"Alexeev, Yuri", @alcf.anl.gov, 0, 0, 0, 0, 0, 1, , , , , , SC_17_038, M, US, GOV, 62, 15, 11, 22, 14, 578
"Alforov, Yevhen", @dkrz.de, 0, 0, 0, 0, 0, 1, , , , , , Cluster_17_008, , DE, GOV, 10, 3, 3, 1, 0, 31
"Alfredsson, Stefan", @kau.se, 0, 0, 0, 0, 0, 1, , , , , , MobiCom_17_005, , SE, EDU, 36, 7, 5, 5, 1, 130
"Alglave, Jade", @ucl.ac.uk, 0, 1, 0, 0, 0, 0, , ASPLOS, , , , , F, UK, EDU, 48, 16, 16, 20, 19, 1348
"Alhassoun, Nailah", @ksu.edu.sa, 0, 0, 0, 0, 0, 1, , , , , , IGSC_17_022, F, SA, EDU, 1, 1, 1, 1, 0, 10
